***************************** LOGISTICS *****************************
Experiment Date: 2020-12-16 12:17
Output Name: full_epoch_step4_eps4_repeat4
User: shishira
***************************** ARGUMENTS *****************************
TRAIN: {'epochs': 350, 'arch': 'resnet50', 'start_epoch': 0, 'lr': 0.1, 'momentum': 0.99, 'weight_decay': 0.0005, 'print_freq': 10, 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2023, 0.1994, 0.201]}
ADV: {'clip_eps': 0.01568627450980392, 'fgsm_step': 0.01568627450980392, 'n_repeats': 4, 'pgd_attack': [(10, 0.00392156862), (50, 0.00392156862)]}
DATA: {'workers': 16, 'batch_size': 256, 'img_size': 32, 'crop_size': 32, 'max_color_value': 255.0}
output_prefix: full_epoch
config: configs.yml
resume: 
evaluate: False
pretrained: False
model: res
adj_lr_factor: 400.0
full_epoch: True
output_name: full_epoch_step4_eps4_repeat4
**********************************************************************
loading arma model: 
Train Epoch: [0][70/195]	Time 0.174 (0.201)	Data 0.000 (0.000)	Loss 2.2852 (2.4575)	Prec@1 12.891 (15.480)	Prec@5 58.594 (63.266)
Train Epoch: [0][70/195]	Time 0.171 (0.201)	Data 0.000 (0.000)	Loss 2.2807 (2.4569)	Prec@1 15.625 (15.481)	Prec@5 57.031 (63.244)
Train Epoch: [0][80/195]	Time 0.181 (0.197)	Data 0.000 (0.000)	Loss 2.1825 (2.4390)	Prec@1 20.312 (15.108)	Prec@5 70.312 (62.982)
Train Epoch: [0][80/195]	Time 0.180 (0.197)	Data 0.000 (0.000)	Loss 2.2480 (2.4384)	Prec@1 17.969 (15.117)	Prec@5 67.969 (62.997)
Train Epoch: [0][80/195]	Time 0.180 (0.197)	Data 0.000 (0.000)	Loss 2.2924 (2.4380)	Prec@1 16.797 (15.122)	Prec@5 62.500 (62.996)
Train Epoch: [0][80/195]	Time 0.181 (0.197)	Data 0.000 (0.000)	Loss 2.2749 (2.4375)	Prec@1 17.578 (15.129)	Prec@5 62.500 (62.994)
Train Epoch: [0][90/195]	Time 0.164 (0.194)	Data 0.000 (0.000)	Loss 2.1336 (2.4158)	Prec@1 17.969 (15.299)	Prec@5 71.484 (63.341)
Train Epoch: [0][90/195]	Time 0.174 (0.194)	Data 0.000 (0.000)	Loss 2.1868 (2.4152)	Prec@1 17.578 (15.306)	Prec@5 69.141 (63.357)
Train Epoch: [0][90/195]	Time 0.173 (0.194)	Data 0.000 (0.000)	Loss 2.2371 (2.4147)	Prec@1 12.891 (15.299)	Prec@5 66.016 (63.364)
Train Epoch: [0][90/195]	Time 0.172 (0.194)	Data 0.000 (0.000)	Loss 2.2278 (2.4142)	Prec@1 13.672 (15.294)	Prec@5 65.625 (63.370)
Train Epoch: [0][100/195]	Time 0.171 (0.192)	Data 0.000 (0.000)	Loss 2.1778 (2.3945)	Prec@1 19.141 (15.434)	Prec@5 68.750 (63.627)
Train Epoch: [0][100/195]	Time 0.174 (0.192)	Data 0.000 (0.000)	Loss 2.2219 (2.3941)	Prec@1 17.578 (15.439)	Prec@5 65.625 (63.632)
Train Epoch: [0][100/195]	Time 0.175 (0.192)	Data 0.000 (0.000)	Loss 2.2610 (2.3938)	Prec@1 15.234 (15.439)	Prec@5 65.234 (63.636)
Train Epoch: [0][100/195]	Time 0.176 (0.192)	Data 0.000 (0.000)	Loss 2.2466 (2.3934)	Prec@1 14.062 (15.435)	Prec@5 68.359 (63.648)
Train Epoch: [0][110/195]	Time 0.164 (0.190)	Data 0.000 (0.000)	Loss 2.1158 (2.3755)	Prec@1 16.797 (15.498)	Prec@5 72.266 (64.199)
Train Epoch: [0][110/195]	Time 0.176 (0.190)	Data 0.000 (0.000)	Loss 2.1852 (2.3751)	Prec@1 14.844 (15.497)	Prec@5 69.141 (64.210)
