,batch_size,cos,decay,epochs,lr,momentum,schedule,total_acc,mean_acc,freqw_acc,mean_iou,classwise_scores
output/19,16,False,0.0005,200,0.01,0.99,,0.785380019246504,0.367165215748365,0.673692459761363,0.253752334920805,"{0: 0.8060781090839888, 1: 0.41486053179568266, 2: 0.16374936307332372, 3: 0.18063192220795263, 4: 0.2178913553569735, 5: 0.16906347562691898, 6: 0.44413079314994536, 7: 0.4073712905447417, 8: 0.3473606505750855, 9: 0.0017313628391123416, 10: 0.13627055175238428, 11: 0.08562688580344754, 12: 0.26398894168897136, 13: 0.20133858913654581, 14: 0.23701488803609527, 15: 0.4241667126191257, 16: 0.060002242615445414, 17: 0.15765676614381188, 18: 0.09597156213296482, 19: 0.360052684975667, 20: 0.15384035417873}"
output/17,16,False,0.0005,200,0.03,0.99,"['50', '100']",0.779890677779193,0.25790385301103,0.647137264847076,0.187391721074981,"{0: 0.794979341696256, 1: 0.3348776537526708, 2: 0.133386619221153, 3: 0.043063378045888834, 4: 0.0004041222435372397, 5: 0.0, 6: 0.41553451306921224, 7: 0.3600282141677362, 8: 0.2872584319061996, 9: 1.6163439528208597e-06, 10: 0.052697597718288386, 11: 0.014092607824363935, 12: 0.15662199557632142, 13: 0.11430032662066242, 14: 0.28131013193145094, 15: 0.33611447247867426, 16: 0.027495758853784975, 17: 0.1542720079324614, 18: 0.009007474910159675, 19: 0.263773886363116, 20: 0.15600599191871062}"
output/25,16,False,0.0005,200,0.05,0.99,,0.742669023259744,0.061845436721355,0.564860238733708,0.042265367196443,"{0: 0.7520836765405936, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.135489034584698, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/6,16,False,0.0005,200,0.1,0.9,,0.79324994505151,0.368440021855549,0.681133907644032,0.260845499737245,"{0: 0.8151441303551931, 1: 0.35713814652518167, 2: 0.14347373491076235, 3: 0.2088989728557688, 4: 0.16054234084139482, 5: 0.2564825870042313, 6: 0.21825271127821208, 7: 0.419686541755953, 8: 0.3909135994907476, 9: 0.041653021894425685, 10: 0.14096649467632405, 11: 0.16105875399868577, 12: 0.3066320252538284, 13: 0.21033210638401012, 14: 0.3031754643191981, 15: 0.4176578591208274, 16: 0.04605664300407093, 17: 0.2039138523992674, 18: 0.16594974726013048, 19: 0.32213110921109056, 20: 0.18769565194283375}"
output/18,16,False,0.0005,200,0.01,0.9,,0.815398964575852,0.338446813740928,0.696462432264455,0.268642056822762,"{0: 0.8310260953829268, 1: 0.4732324321736793, 2: 0.17414860133677548, 3: 0.189567010867603, 4: 0.23409574134997352, 5: 0.1387389598460647, 6: 0.48144636760140214, 7: 0.4878032254018537, 8: 0.3614315679275411, 9: 0.05343797155027721, 10: 0.10463777643677037, 11: 0.053745484288732874, 12: 0.24537616197556986, 13: 0.18279047326705564, 14: 0.3031384776092093, 15: 0.48511514785835924, 16: 0.06997733238490877, 17: 0.20877666119704755, 18: 0.05210161860766404, 19: 0.2440600273462892, 20: 0.2668360588683048}"
output/24,16,False,0.0005,200,0.05,0.9,,0.784654987195675,0.421364085039031,0.680360160395518,0.275915955410479,"{0: 0.811547458804246, 1: 0.4448906353903423, 2: 0.17133878545398123, 3: 0.23183343568521533, 4: 0.18586905518636232, 5: 0.1915431645145071, 6: 0.3822514088756138, 7: 0.4134415446750966, 8: 0.4239956946964722, 9: 0.05391052809044159, 10: 0.06646623368567481, 11: 0.17516677110223733, 12: 0.3018963465768169, 13: 0.16894814108566925, 14: 0.20940621081187621, 15: 0.3809079268036882, 16: 0.15478717040988582, 17: 0.18687422845670723, 18: 0.17931444007111663, 19: 0.34905703332729165, 20: 0.3107888499168091}"
output/2,16,True,0.0005,200,1,0.9,,0.747562142550493,0.047619047619048,0.558849156974683,0.035598197264309,"{0: 0.7475621425504928, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/21,16,True,0.0005,200,0.01,0.99,,0.820155215477269,0.444500095058363,0.712057610610781,0.330013409129317,"{0: 0.8322469521552994, 1: 0.4644772372774498, 2: 0.15724406124377371, 3: 0.26021655764919416, 4: 0.32290766685086075, 5: 0.28514585660529973, 6: 0.5372031097014252, 7: 0.43733843284672874, 8: 0.4514874382219025, 9: 0.07927652222278465, 10: 0.2590214414061995, 11: 0.12251299196308736, 12: 0.3572809800094453, 13: 0.22724876517956838, 14: 0.33213041573666535, 15: 0.47057198881776235, 16: 0.13077823327074886, 17: 0.27740677260138724, 18: 0.14080973711356984, 19: 0.4434484680896374, 20: 0.3415279627528578}"
output/20,16,True,0.0005,200,0.01,0.9,,0.812008011991028,0.34659198791871,0.697550168924158,0.263979531704054,"{0: 0.8352472245667597, 1: 0.4554177675679684, 2: 0.171017213376617, 3: 0.1735494055468966, 4: 0.18856659866657846, 5: 0.10589367435239982, 6: 0.45886088568908684, 7: 0.46156316863438207, 8: 0.35317711132620666, 9: 0.041454515420045336, 10: 0.049252806268394456, 11: 0.027986340367654457, 12: 0.22919782904787994, 13: 0.18890563317990466, 14: 0.30927234458060476, 15: 0.4587107742484939, 16: 0.08705354347040808, 17: 0.22741646809637278, 18: 0.11272871564252007, 19: 0.29691819894171173, 20: 0.31137994679425046}"
output/23,16,False,0.0005,200,0.01,0.99,"['50', '100']",0.822449314915122,0.458325716396241,0.715035814879475,0.340350583325191,"{0: 0.8317619466622306, 1: 0.4737347904511041, 2: 0.1720155504646963, 3: 0.2911193454248087, 4: 0.30276020776099855, 5: 0.3005065938257019, 6: 0.551123362985572, 7: 0.5397302772451406, 8: 0.4557321691813841, 9: 0.07490641991167828, 10: 0.17507198426198234, 11: 0.09467753500410613, 12: 0.38700373852963993, 13: 0.2988499702292999, 14: 0.40821485345260544, 15: 0.49250621719806303, 16: 0.1647812639162443, 17: 0.2591126701841655, 18: 0.13496622110931228, 19: 0.40527083586121393, 20: 0.33351629616906076}"
output/14,16,True,0.0005,200,0.03,0.9,,0.825601802849621,0.403072844004119,0.717254100606098,0.317030034818582,"{0: 0.842870881948328, 1: 0.4698300203635772, 2: 0.18345672304512015, 3: 0.21375508000725504, 4: 0.2691965595129562, 5: 0.18091404052704813, 6: 0.5616085428043249, 7: 0.4981238068636306, 8: 0.38669801375024365, 9: 0.06293082521933796, 10: 0.1916353094393664, 11: 0.03965090958024531, 12: 0.27908384679624165, 13: 0.19590618649105773, 14: 0.35642346664188834, 15: 0.4997947522133837, 16: 0.16282484373168413, 17: 0.28082251801615254, 18: 0.17878506666649388, 19: 0.4231850159868654, 20: 0.38013432158502664}"
output/8,16,True,0.0005,200,0.1,0.9,,0.830260780287085,0.423341330266402,0.718729963964215,0.334614383077366,"{0: 0.8390120072548918, 1: 0.5043415350569286, 2: 0.19002534394230883, 3: 0.27425766695292514, 4: 0.30355989581342346, 5: 0.20352229999403065, 6: 0.5072961015363008, 7: 0.5135457435739751, 8: 0.4662198903811441, 9: 0.08681579937273094, 10: 0.12326510029079549, 11: 0.10382673193413532, 12: 0.3569365358324602, 13: 0.29959158934755314, 14: 0.4009907030640356, 15: 0.5019747987976141, 16: 0.1682568718531194, 17: 0.23834394617258114, 18: 0.0724675696252961, 19: 0.4469624646325604, 20: 0.4256894491958723}"
output/3,16,True,0.0005,200,1,0.99,,0.747562142550493,0.047619047619048,0.558849156974683,0.035598197264309,"{0: 0.7475621425504928, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/27,16,True,0.0005,200,0.05,0.99,,0.70703889782302,0.072965764902694,0.558317994967609,0.045833156912352,"{0: 0.7381537862331097, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.09620120669037163, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.06503886828643073, 13: 0.0, 14: 0.0, 15: 0.06310243394948203, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
output/5,16,False,0.0005,200,1,0.99,"['50', '100']",0.747562142550493,0.047619047619048,0.558849156974683,0.035598197264309,"{0: 0.7475621425504928, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0}"
